Date,Open,High,Low,Close,Adj Close,Volume
2018-11-26,95.690002,96.070000,94.739998,95.150002,94.633583,8537900
2018-11-27,94.989998,95.540001,94.410004,95.040001,94.524178,9042300
2018-11-28,95.449997,97.620003,95.050003,97.459999,96.931046,10070800
2018-11-29,97.019997,97.830002,96.739998,97.290001,96.761971,6241300
2018-11-30,97.400002,98.430000,97.070000,97.650002,97.120010,10664000
2018-12-03,98.019997,99.589996,97.669998,98.750000,98.214043,9082100
2018-12-04,98.250000,98.959999,95.610001,95.809998,95.289993,10426300
2018-12-06,94.940002,95.410004,93.099998,94.769997,94.769997,10367200
2018-12-07,94.500000,95.129997,92.449997,93.190002,93.190002,8496500
2018-12-10,93.559998,94.250000,92.339996,93.940002,93.940002,7276900
2018-12-11,94.250000,94.489998,93.250000,93.849998,93.849998,6452500
2018-12-12,94.300003,94.300003,93.059998,93.110001,93.110001,9639200
2018-12-13,93.250000,93.680000,92.430000,92.959999,92.959999,8042300
2018-12-14,92.050003,92.559998,91.570000,91.849998,91.849998,11493600
2018-12-17,91.220001,92.010002,90.160004,90.769997,90.769997,9001800
2018-12-18,90.800003,91.260002,90.279999,91.080002,91.080002,9606700
2018-12-19,91.290001,93.000000,90.250000,90.550003,90.550003,12231500
2018-12-20,90.110001,90.110001,86.139999,87.279999,87.279999,16373800
2018-12-21,86.870003,89.470001,86.800003,87.129997,87.129997,14919400
